,contrast,correlation,inverse_difference_moments,entropy
0,11.544722015015463,0.9986720168954313,0.5657654446985415,9.690806545406993
0,123.14643823768897,0.9763899165628288,0.6275620620185975,9.285696398656645
0,75.99396833046963,0.9780248811922793,0.49884104766538606,9.916808521598526
0,228.74372470620352,0.9835660013354082,0.6483274714081966,7.935575841910522
0,5.697250075467958,0.9994468718044267,0.7114926067558528,8.321090631141384
0,208.15287466352285,0.8876355787838653,0.5765506124044839,8.918374565625099
0,206.14113518189563,0.7746353252846642,0.7279009406875365,7.6884008217708395
0,267.17322669539215,0.9793382174070578,0.5449123349327989,9.497567275599064
0,183.94658462142792,0.9725276030308664,0.5850771491651212,9.977115646960161
0,182.46224619391498,0.9674065021322638,0.5416716843333299,9.965140188102703
0,210.15417450819996,0.9261071026347633,0.6408860311309796,9.183909836597408
0,26.418009390392434,0.9859229378270058,0.6695350023160168,7.595884614698396
0,160.70298891274143,0.9862735322872432,0.6083334656271351,9.293501108057551
0,9.907577589797343,0.9984899925563787,0.6127057198265362,9.064004069512407
0,172.04721375043505,0.9811523802765684,0.4695075709671842,10.096396701292909
0,89.05129709208595,0.9596751914919758,0.4606028333723165,9.298843231733134
0,83.77027925219949,0.9680468241174114,0.5075044628530965,9.15310056247776
0,11.762647398186001,0.9976008543329411,0.632230672693605,9.068001123217591
0,47.17025598876824,0.9807526696263311,0.5527001174433772,9.423636683248862
0,40.388684303117714,0.95463953561897,0.6121028275433701,8.057272350357245
